country,population,gdppc,co2_emission
Iceland,0.330815,51.7394267572969,6.00793192569865
Jamaica,2.891021,9.470797195279971,2.61926668813544
Jordan,9.266575,9.97059030805957,2.82744325708258
Japan,127.141,39.672948448216204,9.15364142172863
Kenya,47.878336,3.82475954287833,0.355454019955915
Kyrgyz Republic,5.9569,4.80514109239542,1.75381204989172
Cambodia,15.521436,3.54370355294289,0.555905458747502
Kiribati,0.11093,2.17373917507784,0.561967006220139
Comoros,0.777424,2.95953997137324,0.21697555002161
St. Kitts and Nevis,0.051203,25.5694111843291,4.58348143663457
"Korea, Rep.",51.014947,38.8701212676257,11.7093976398721
Kuwait,3.835591,54.8342511882074,24.2424489472418
Cayman Islands,0.061724,67.10479814286771,9.03026375477934
Kazakhstan,17.542806,24.2904176339265,13.800054164653
Lao PDR,6.741164,6.54366680584583,1.34197729056881
Lebanon,6.532678,16.2992152480663,3.74576720297556
St. Lucia,0.179126,14.030006679112201,2.29282181257886
Sri Lanka,20.97,11.890516178616501,0.959155698617072
Liberia,4.47223,1.58047887426785,0.2771427229816
Lesotho,2.059021,2.7271206538308603,1.13980381938795
Lithuania,2.90491,30.8014226065896,4.50404866243705
Luxembourg,0.569604,110.95198876996601,16.2425843217393
Latvia,1.977527,26.4897584963771,3.54363657234516
Libya,6.418315,11.0224292135086,8.88024053041959
Morocco,34.663603,7.12968626960028,1.76761495335612
Moldova,2.83453,10.360829585392201,1.74389263828571
Montenegro,0.622159,18.2123830711681,3.60122894629829
Madagascar,24.234088,1.5467665355761702,0.150407888260536
Marshall Islands,0.057439,3.62532568512855,2.48982398718641
North Macedonia,2.079328,14.9564421592004,3.41423382939103
Mali,17.438778,2.14061282557018,0.181680620052621
Myanmar,52.680726,4.2685005147433905,0.423286250838684
Mongolia,2.998439,11.0229564768161,7.76585750118645
"Macao SAR, China",0.602085,120.294895761936,3.47158623782356
Mauritania,4.046301,5.12743608403623,0.715038994874578
Malta,0.445053,38.780607115881004,3.64184490386538
Mauritius,1.262605,19.897475396564403,3.33705553201516
Maldives,0.454915,17.283310304426,2.86160051877823
Malawi,16.745303,1.02722960578314,0.0687618492182554
Mexico,121.858258,19.288245587318603,3.96319112817122
Malaysia,30.270962,24.7924882815787,7.75739069673438
Mozambique,27.042002,1.2626130810912,0.239883237934824
Namibia,2.314904,10.4875002460914,1.72348226967511
Niger,20.001663,1.1305938028373301,0.101384119910429
Nigeria,181.137448,5.51477045532312,0.640003153848121
Nicaragua,6.22324,5.63034771163342,0.85675918010554
Netherlands,16.939923,53.2234426476495,10.1825736161847
Norway,5.188607,61.8957956099624,9.0992871497109
Nepal,27.015031,2.91154830373311,0.231435418304721
Nauru,0.012475,11.2945247985724,3.82132264529058
New Zealand,4.5957,40.467204531800704,7.59140892573493
Oman,4.267348,30.1925942833549,15.3224618662457
Panama,3.968487,28.4363598291199,2.80443025263784
Peru,30.470734,12.1102688843386,1.72743190236244
Papua New Guinea,8.107775,4.20435299613729,0.922655105747261
Philippines,102.113212,7.30013578149923,1.14696532119663
Pakistan,199.426964,4.27834642685528,0.945421161804379
Poland,37.986412,27.8712423818539,7.52003900763252
West Bank and Gaza,4.270092,5.55917494138251,0.704186232989828
Portugal,10.358076,31.1577593380913,4.75559466835347
Palau,0.017665,18.519569468673797,12.6627228983866
Paraguay,6.688746,11.8099464262524,0.942414766534714
Qatar,2.56571,97.30592555277491,41.6421622085115
Romania,19.815616,23.944301773162998,3.61914153968264
Serbia,7.095383,15.5139105539582,6.18989263863558
Russian Federation,144.09687,25.5662876349341,11.7852203798736
Rwanda,11.369071,1.88877013973419,0.0845059372045438
Saudi Arabia,31.717667,48.921221250039196,20.4022516221007
Solomon Islands,0.603118,2.3032391246642603,0.31616366946435
Seychelles,0.093419,25.6092897355963,5.25993641550434
Sweden,9.799186,51.7045030400297,3.89632404160917
Singapore,5.535002,89.36630788912571,11.1023602159493
Slovenia,2.063531,33.9496025823699,6.07218355333649
Slovak Republic,5.423801,29.4536522065811,5.76775899410764
Sierra Leone,7.171914,1.55182200863819,0.148788315085764
Senegal,14.578459,2.9664535160259904,0.729704490714691
Suriname,0.559143,17.3493357260718,3.08237785325042
Sao Tome and Principe,0.199432,3.75774691791832,0.570003810822737
El Salvador,6.325124,8.14301691717694,1.0829757645858
Eswatini,1.104044,8.375255348875909,0.890142059555597
Turks and Caicos Islands,0.035981,24.1407200726982,5.70723437369723
Chad,14.110975,1.8571073372302802,0.0709441409966356
Togo,7.323158,1.447229049177,0.360032242920336
Thailand,68.714511,16.3015380925689,4.13835221791799
Tajikistan,8.454028,2.82165631103865,0.592079302316008
Timor-Leste,1.196302,3.30271750898721,0.41994329191124
Turkmenistan,5.565287,12.993522470645,12.6990918887022
Tunisia,11.179949,10.519739385966101,2.70598282693418
Tonga,0.100781,6.02609148660098,1.20073228088628
Turkey,78.529409,26.0154884594854,4.46123115481488
Trinidad and Tobago,1.370328,29.1825706473372,33.7550849139768
Tuvalu,0.011099,3.7285387610154297,0.991170375709523
Tanzania,51.482633,2.3541392209399903,0.251220814599751
Ukraine,45.154036,11.2370744571217,4.34697596024417
Uganda,38.225453,2.05233810905658,0.139771240905896
United States,320.635163,58.535768020496604,15.989866258056
Uruguay,3.412009,20.5883931218595,1.96353790391526
Uzbekistan,31.2989,6.08671574219474,3.2885827616945
St. Vincent and the Grenadines,0.109148,11.9719932829377,2.01579506724814
Vietnam,92.677076,6.43826027051251,2.03210755160208
Vanuatu,0.27113,3.0421408405328796,0.486895585143658
Samoa,0.193513,6.00735129593462,1.21277640261895
South Africa,55.386367,12.8400358670301,8.37665534191835
Zambia,15.879361,3.4435492489756103,0.285427858211675
Zimbabwe,13.814629,2.95820900407292,0.891623872056209
